Subject	Sample
HG01066	HG01066
NA20359	NA20359
NA19056	NA19056
HG02655	HG02655
NA11894	NA11894
HG01286	HG01286
NA18987	NA18987
HG02976	HG02976
HG03488	HG03488
NA18599	NA18599
NA19214	NA19214
HG03166	HG03166
NA19107	NA19107
NA12830	NA12830
HG00371	HG00371
HG02153	HG02153
NA18553	NA18553
HG01284	HG01284
HG02367	HG02367
HG03103	HG03103
HG00141	HG00141
HG00157	HG00157
HG00737	HG00737
HG01746	HG01746
HG02064	HG02064
HG00406	HG00406
HG01205	HG01205
NA18974	NA18974
HG02816	HG02816
HG01841	HG01841
HG02215	HG02215
HG01790	HG01790
HG01840	HG01840
HG02891	HG02891
HG02283	HG02283
HG02343	HG02343
NA19198	NA19198
NA12717	NA12717
NA19471	NA19471
NA20757	NA20757
HG02076	HG02076
NA19081	NA19081
NA18934	NA18934
HG01396	HG01396
NA11830	NA11830
NA20534	NA20534
NA11931	NA11931
NA19074	NA19074
NA18877	NA18877
HG00102	HG00102
HG01626	HG01626
HG03455	HG03455
NA20536	NA20536
NA20287	NA20287
HG02837	HG02837
HG00382	HG00382
HG01111	HG01111
HG01944	HG01944
NA12400	NA12400
HG01250	HG01250
HG00115	HG00115
HG01139	HG01139
HG02382	HG02382
HG02087	HG02087
NA18964	NA18964
HG01765	HG01765
HG03055	HG03055
HG01704	HG01704
HG01779	HG01779
HG03209	HG03209
HG00731	HG00731
HG00257	HG00257
HG02396	HG02396
HG00592	HG00592
NA19143	NA19143
HG00337	HG00337
HG02029	HG02029
HG03575	HG03575
NA19648	NA19648
HG00268	HG00268
HG00349	HG00349
HG02497	HG02497
NA19070	NA19070
HG00182	HG00182
NA18941	NA18941
HG02420	HG02420
HG00449	HG00449
HG03133	HG03133
HG02810	HG02810
HG00239	HG00239
HG02649	HG02649
NA19239	NA19239
HG03446	HG03446
HG03112	HG03112
HG00245	HG00245
HG01800	HG01800
HG03028	HG03028
NA19625	NA19625
HG01131	HG01131
HG01858	HG01858
HG00451	HG00451
NA20581	NA20581
NA19037	NA19037
HG01342	HG01342
HG02144	HG02144
NA19338	NA19338
HG02315	HG02315
HG02314	HG02314
NA12282	NA12282
HG01073	HG01073
HG00551	HG00551
HG02023	HG02023
HG00640	HG00640
HG02180	HG02180
HG01083	HG01083
HG01757	HG01757
HG03439	HG03439
NA19308	NA19308
NA18639	NA18639
NA20762	NA20762
HG01785	HG01785
HG02756	HG02756
HG00288	HG00288
HG02476	HG02476
HG02768	HG02768
HG01488	HG01488
HG01464	HG01464
NA18990	NA18990
HG00581	HG00581
HG00613	HG00613
NA20318	NA20318
HG00180	HG00180
HG00378	HG00378
HG02851	HG02851
HG01956	HG01956
HG03556	HG03556
NA19316	NA19316
NA18536	NA18536
HG02429	HG02429
NA19445	NA19445
NA11893	NA11893
NA18606	NA18606
NA19794	NA19794
HG03298	HG03298
HG03410	HG03410
NA19466	NA19466
HG02952	HG02952
NA20787	NA20787
HG02406	HG02406
NA18959	NA18959
HG01605	HG01605
HG01808	HG01808
HG01190	HG01190
HG00623	HG00623
HG01455	HG01455
HG02465	HG02465
NA19429	NA19429
HG02721	HG02721
HG03367	HG03367
HG00329	HG00329
HG02375	HG02375
HG02922	HG02922
HG03195	HG03195
HG00233	HG00233
NA18949	NA18949
HG03048	HG03048
HG01366	HG01366
NA12155	NA12155
NA12340	NA12340
NA19327	NA19327
NA19385	NA19385
HG02353	HG02353
HG01028	HG01028
NA12749	NA12749
HG02521	HG02521
HG01432	HG01432
NA18523	NA18523
HG00099	HG00099
HG00599	HG00599
HG00335	HG00335
NA20821	NA20821
HG01102	HG01102
HG02130	HG02130
NA19184	NA19184
HG01556	HG01556
HG00358	HG00358
HG02137	HG02137
NA19116	NA19116
HG02699	HG02699
HG02309	HG02309
HG02700	HG02700
HG01624	HG01624
HG02121	HG02121
HG03354	HG03354
HG01375	HG01375
HG01811	HG01811
HG01684	HG01684
HG01926	HG01926
HG02546	HG02546
NA19437	NA19437
HG01051	HG01051
HG01142	HG01142
HG02323	HG02323
HG03199	HG03199
HG01596	HG01596
HG03046	HG03046
HG00473	HG00473
HG01894	HG01894
NA19207	NA19207
NA12760	NA12760
HG01070	HG01070
NA20850	NA20850
HG00234	HG00234
NA18957	NA18957
HG02557	HG02557
HG01673	HG01673
HG03135	HG03135
HG03096	HG03096
HG01174	HG01174
NA06989	NA06989
HG03061	HG03061
HG03578	HG03578
NA20356	NA20356
HG02502	HG02502
HG02896	HG02896
NA20521	NA20521
HG02580	HG02580
HG00566	HG00566
HG02047	HG02047
NA18988	NA18988
HG00524	HG00524
HG00111	HG00111
NA20755	NA20755
NA20538	NA20538
HG00560	HG00560
HG01747	HG01747
NA18923	NA18923
NA18530	NA18530
NA20587	NA20587
NA18636	NA18636
HG00353	HG00353
HG00260	HG00260
HG02697	HG02697
HG03370	HG03370
HG02595	HG02595
HG00143	HG00143
NA19147	NA19147
NA12748	NA12748
HG00421	HG00421
HG00698	HG00698
HG00284	HG00284
HG01702	HG01702
HG01254	HG01254
HG02594	HG02594
HG03078	HG03078
NA19475	NA19475
HG01323	HG01323
HG03085	HG03085
HG01362	HG01362
NA12813	NA12813
NA19375	NA19375
HG01269	HG01269
HG02946	HG02946
HG03478	HG03478
HG00407	HG00407
HG03428	HG03428
NA20540	NA20540
HG01444	HG01444
HG00269	HG00269
NA18648	NA18648
NA20807	NA20807
HG00246	HG00246
HG02648	HG02648
NA18609	NA18609
HG02477	HG02477
HG00531	HG00531
HG01272	HG01272
HG02086	HG02086
NA18502	NA18502
HG00626	HG00626
NA19172	NA19172
NA18621	NA18621
HG02051	HG02051
HG02983	HG02983
NA12489	NA12489
NA19131	NA19131
HG00332	HG00332
HG01161	HG01161
NA18572	NA18572
HG02371	HG02371
HG00375	HG00375
HG01134	HG01134
NA19222	NA19222
HG02070	HG02070
HG03246	HG03246
