SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG02239	peripheral 	blood 	DNA unknown
NA18591	peripheral 	blood 	DNA unknown
HG01198	peripheral 	blood 	DNA unknown
NA20503	peripheral 	blood 	DNA unknown
NA19346	peripheral 	blood 	DNA unknown
NA18567	peripheral 	blood 	DNA unknown
HG01344	peripheral 	blood 	DNA unknown
HG03572	peripheral 	blood 	DNA unknown
NA19003	peripheral 	blood 	DNA unknown
NA18558	peripheral 	blood 	DNA unknown
HG00256	peripheral 	blood 	DNA unknown
HG00476	peripheral 	blood 	DNA unknown
HG01669	peripheral 	blood 	DNA unknown
NA20296	peripheral 	blood 	DNA unknown
HG02944	peripheral 	blood 	DNA unknown
HG02982	peripheral 	blood 	DNA unknown
NA18995	peripheral 	blood 	DNA unknown
HG01170	peripheral 	blood 	DNA unknown
HG02386	peripheral 	blood 	DNA unknown
NA19119	peripheral 	blood 	DNA unknown
HG00445	peripheral 	blood 	DNA unknown
HG03297	peripheral 	blood 	DNA unknown
HG01058	peripheral 	blood 	DNA unknown
HG01537	peripheral 	blood 	DNA unknown
HG00125	peripheral 	blood 	DNA unknown
NA20541	peripheral 	blood 	DNA unknown
NA18917	peripheral 	blood 	DNA unknown
HG00355	peripheral 	blood 	DNA unknown
NA18643	peripheral 	blood 	DNA unknown
NA19060	peripheral 	blood 	DNA unknown
HG03469	peripheral 	blood 	DNA unknown
HG00272	peripheral 	blood 	DNA unknown
NA19360	peripheral 	blood 	DNA unknown
NA20527	peripheral 	blood 	DNA unknown
HG02061	peripheral 	blood 	DNA unknown
HG03079	peripheral 	blood 	DNA unknown
NA18565	peripheral 	blood 	DNA unknown
HG02131	peripheral 	blood 	DNA unknown
NA18508	peripheral 	blood 	DNA unknown
HG00177	peripheral 	blood 	DNA unknown
HG03240	peripheral 	blood 	DNA unknown
HG02757	peripheral 	blood 	DNA unknown
NA11843	peripheral 	blood 	DNA unknown
HG01085	peripheral 	blood 	DNA unknown
